as_of_date,brand,maturity_date,coupon_pct,price_jpy
2048-03-20,第１回 利付国債（４０年）,2048-03-20,2.4,98.4085
2048-03-20,第２回 利付国債（４０年）,2049-03-20,2.2,93.9249
2048-03-20,第３回 利付国債（４０年）,2050-03-20,2.2,92.7252
2048-03-20,第４回 利付国債（４０年）,2051-03-20,2.2,91.0972
2048-03-20,第５回 利付国債（４０年）,2052-03-20,2,86.1274
2048-03-20,第６回 利付国債（４０年）,2053-03-20,1.9,83.2899
2048-03-20,第７回 利付国債（４０年）,2054-03-20,1.7,78.3731
2048-03-20,第８回 利付国債（４０年）,2055-03-20,1.4,71.8702
2048-03-20,第９回 利付国債（４０年）,2056-03-20,0.4,50.6613
2048-03-20,第１０回 利付国債（４０年）,2057-03-20,0.9,59.8393
2048-03-20,第１１回 利付国債（４０年）,2058-03-20,0.8,56.6586
2048-03-20,第１２回 利付国債（４０年）,2059-03-20,0.5,49.0502
2048-03-20,第１３回 利付国債（４０年）,2060-03-20,0.5,47.7091
2048-03-20,第１４回 利付国債（４０年）,2061-03-20,0.7,50.576
2048-03-20,第１５回 利付国債（４０年）,2062-03-20,1,55.8369
2048-03-20,第１６回 利付国債（４０年）,2063-03-20,1.3,61.2954
2048-03-20,第１７回 利付国債（４０年）,2064-03-20,2.2,80.4128
2048-03-20,第１８回 利付国債（４０年）,2065-03-20,3.1,100.1783
2048-03-20,第１回 利付国債（３０年）,2029-09-20,2.8,107.6842
2048-03-20,第２回 利付国債（３０年）,2030-02-20,2.4,106.3744
2048-03-20,第３回 利付国債（３０年）,2030-05-20,2.3,106.327
2048-03-20,第４回 利付国債（３０年）,2030-11-20,2.9,109.8841
2048-03-20,第５回 利付国債（３０年）,2031-05-20,2.2,106.5805
2048-03-20,第６回 利付国債（３０年）,2031-11-20,2.4,108.1801
2048-03-20,第７回 利付国債（３０年）,2032-05-20,2.3,107.8182
2048-03-20,第８回 利付国債（３０年）,2032-11-22,1.8,104.4653
2048-03-20,第９回 利付国債（３０年）,2032-12-20,1.4,101.6151
2048-03-20,第１０回 利付国債（３０年）,2033-03-20,1.1,99.2936
2048-03-20,第１１回 利付国債（３０年）,2033-06-20,1.7,103.637
2048-03-20,第１２回 利付国債（３０年）,2033-09-20,2.1,106.6553
2048-03-20,第１３回 利付国債（３０年）,2033-12-20,2,105.8261
2048-03-20,第１４回 利付国債（３０年）,2034-03-20,2.4,108.9974
2048-03-20,第１５回 利付国債（３０年）,2034-06-20,2.5,109.8161
2048-03-20,第１６回 利付国債（３０年）,2034-09-20,2.5,109.7912
2048-03-20,第１７回 利付国債（３０年）,2034-12-20,2.4,108.863
2048-03-20,第１８回 利付国債（３０年）,2035-03-20,2.3,107.8832
2048-03-20,第１９回 利付国債（３０年）,2035-06-20,2.3,107.8266
2048-03-20,第２０回 利付国債（３０年）,2035-09-20,2.5,109.6403
2048-03-20,第２１回 利付国債（３０年）,2035-12-20,2.3,107.5805
